OID_,Loc_name,Status,Score,Match_type,Match_addr,LongLabel,ShortLabel,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,Nbrhd,District,City,MetroArea,Subregion,Region,RegionAbbr,Territory,Zone,Postal,PostalExt,Country,CntryName,LangCode,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo,IN_Address,IN_Address2,IN_Address3,IN_Neighborhood,IN_City,IN_Subregion,IN_Region,IN_Postal,IN_PostalExt,IN_CountryCode,USER_price,USER_bed,USER_bath,USER_address,USER_city,USER_Field6
1,World,M,99.230000000000004,A,"3570 Delblush Lane, Victoria, British Columbia, V9C 0S1","3570 Delblush Lane, Langford, BC, V9C 0S1, CAN",3570 Delblush Lane,PointAddress,,,"3570 Delblush Lane, Victoria, British Columbia, V9C 0S1",,,20.000000000000000,,3570,,,,,,,Delblush,Lane,,,,,,,,,3570 Delblush Lane,,,Latoria,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V9C,0S1,CAN,Canada,ENG,0.000000000000000,-123.516702774687133,48.413219455822016,-123.517002427725586,48.413293719484130,-123.518002427725591,-123.516002427725581,48.412293719484133,48.414293719484128,BC,3570 Delblush Lane ,,,,Langford BC,,,,,,"$1,399,900",4,4,3570 Delblush Lane ,Langford BC,
2,World,M,99.129999999999995,A,"1611 San Juan Ave, Victoria, British Columbia, V8N 2L7","1611 San Juan Ave, Saanich, BC, V8N 2L7, CAN",1611 San Juan Ave,PointAddress,,,"1611 San Juan Ave, Victoria, British Columbia, V8N 2L7",,,20.000000000000000,,1611,,,,,,,San Juan,Ave,,,,,,,,,1611 San Juan Ave,,,Gordon Head,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V8N,2L7,CAN,Canada,ENG,0.000000000000000,-123.331646110551290,48.485982757287957,-123.331708471910900,48.485745214152018,-123.332708471910905,-123.330708471910896,48.484745214152021,48.486745214152016,BC,1611 San Juan Ave ,,,,Saanich BC,,,,,,"$859,900",3,1,1611 San Juan Ave ,Saanich BC,
3,World,M,99.810000000000002,A,"1810 Kings Rd, Unit 2, Victoria, British Columbia, V8R 2P3","1810 Kings Rd, Unit 2, Victoria, BC, V8R 2P3, CAN","1810 Kings Rd, Unit 2",Subaddress,,,"1810 Kings Rd, Unit 2, Victoria, British Columbia, V8R 2P3",,,20.000000000000000,,1810,,,,,,,Kings,Rd,,,,,,Unit,2,Unit 2,1810 Kings Rd,,,Shelbourne,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V8R,2P3,CAN,Canada,ENG,0.000000000000000,-123.327739054024093,48.437826628069381,-123.327730169206731,48.438091412390634,-123.328730169206736,-123.326730169206726,48.437091412390636,48.439091412390631,BC,2-1810 Kings Rd ,,,,Saanich BC,,,,,,"$1,079,000",4,4,2-1810 Kings Rd ,Saanich BC,
4,World,M,99.859999999999999,A,"3931 Shelbourne St, Unit 311, Victoria, British Columbia, V8P 4H9","3931 Shelbourne St, Unit 311, Victoria, BC, V8P 4H9, CAN","3931 Shelbourne St, Unit 311",Subaddress,,,"3931 Shelbourne St, Unit 311, Victoria, British Columbia, V8P 4H9",,,20.000000000000000,,3931,,,,,,,Shelbourne,St,,,,,,Unit,311,Unit 311,3931 Shelbourne St,,,Shelbourne,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V8P,4H9,CAN,Canada,ENG,0.000000000000000,-123.332726118775341,48.467538546988521,-123.332372821556575,48.467523627200876,-123.333372821556580,-123.331372821556570,48.466523627200878,48.468523627200874,BC,311-3931 Shelbourne St ,,,,Saanich BC,,,,,,"$499,900",2,2,311-3931 Shelbourne St ,Saanich BC,
5,World,M,99.829999999999998,A,"118 Croft St, Unit 202, Victoria, British Columbia, V8V 2E6","118 Croft St, Unit 202, Victoria, BC, V8V 2E6, CAN","118 Croft St, Unit 202",Subaddress,,,"118 Croft St, Unit 202, Victoria, British Columbia, V8V 2E6",,,20.000000000000000,,118,,,,,,,Croft,St,,,,,,Unit,202,Unit 202,118 Croft St,,,James Bay,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V8V,2E6,CAN,Canada,ENG,0.000000000000000,-123.376955242537477,48.414826560027429,-123.377269312449386,48.415156890831497,-123.378269312449390,-123.376269312449381,48.414156890831499,48.416156890831495,BC,202-118 Croft St ,,,,Victoria BC,,,,,,"$549,900",2,1,202-118 Croft St ,Victoria BC,
6,World,M,99.859999999999999,A,"2860 Sooke Lake Rd, Unit 107, Victoria, British Columbia, V9B 4R3","2860 Sooke Lake Rd, Unit 107, Victoria, BC, V9B 4R3, CAN","2860 Sooke Lake Rd, Unit 107",Subaddress,,,"2860 Sooke Lake Rd, Unit 107, Victoria, British Columbia, V9B 4R3",,,20.000000000000000,,2860,,,,,,,Sooke Lake,Rd,,,,,,Unit,107,Unit 107,2860 Sooke Lake Rd,,,Tbd7,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V9B,4R3,CAN,Canada,ENG,0.000000000000000,-123.549984043254611,48.460599923720814,-123.550435995473720,48.460396997844981,-123.551435995473724,-123.549435995473715,48.459396997844983,48.461396997844979,BC,107-2860 Sooke Lake Rd ,,,,Langford BC,,,,,,"$589,800",3,1,107-2860 Sooke Lake Rd ,Langford BC,
7,World,M,99.819999999999993,A,"373 Tyee Rd, Unit 901, Victoria, British Columbia, V9A 0B3","373 Tyee Rd, Unit 901, Victoria, BC, V9A 0B3, CAN","373 Tyee Rd, Unit 901",Subaddress,,,"373 Tyee Rd, Unit 901, Victoria, British Columbia, V9A 0B3",,,20.000000000000000,,373,,,,,,,Tyee,Rd,,,,,,Unit,901,Unit 901,373 Tyee Rd,,,Victoria West,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V9A,0B3,CAN,Canada,ENG,0.000000000000000,-123.378380752810429,48.430725353970544,-123.378216970422415,48.430776986494095,-123.379216970422419,-123.377216970422410,48.429776986494097,48.431776986494093,BC,901-373 Tyee Rd ,,,,Victoria BC,,,,,,"$1,179,000",2,2,901-373 Tyee Rd ,Victoria BC,
8,World,M,99.859999999999999,A,"1450 Glentana Rd, Unit 501, Victoria, British Columbia, V9A 0H6","1450 Glentana Rd, Unit 501, Victoria, BC, V9A 0H6, CAN","1450 Glentana Rd, Unit 501",Subaddress,,,"1450 Glentana Rd, Unit 501, Victoria, British Columbia, V9A 0H6",,,20.000000000000000,,1450,,,,,,,Glentana,Rd,,,,,,Unit,501,Unit 501,1450 Glentana Rd,,,,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V9A,0H6,CAN,Canada,ENG,0.000000000000000,-123.427637593554209,48.450022255280011,-123.427780169727185,48.449754285835553,-123.428780169727190,-123.426780169727181,48.448754285835555,48.450754285835551,BC,501-1450 Glentana Rd ,,,,View Royal BC,,,,,,"$669,900",2,2,501-1450 Glentana Rd ,View Royal BC,
9,World,M,99.819999999999993,A,"73 Gorge Rd W, Unit 206, Victoria, British Columbia, V9A 1L9","73 Gorge Rd W, Unit 206, Victoria, BC, V9A 1L9, CAN","73 Gorge Rd W, Unit 206",Subaddress,,,"73 Gorge Rd W, Unit 206, Victoria, British Columbia, V9A 1L9",,,20.000000000000000,,73,,,,,,,Gorge,Rd,W,,,,,Unit,206,Unit 206,73 Gorge Rd W,,,Tillicum,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V9A,1L9,CAN,Canada,ENG,0.000000000000000,-123.392874404505406,48.445328808596834,-123.393335073903827,48.444673762863829,-123.394335073903832,-123.392335073903823,48.443673762863831,48.445673762863827,BC,206-73 Gorge Rd W ,,,,Saanich BC,,,,,,"$499,000",2,2,206-73 Gorge Rd W ,Saanich BC,
10,World,M,99.849999999999994,A,"5187 Cordova Bay Rd, Unit 21, Victoria, British Columbia, V8Y 2K7","5187 Cordova Bay Rd, Unit 21, Victoria, BC, V8Y 2K7, CAN","5187 Cordova Bay Rd, Unit 21",Subaddress,,,"5187 Cordova Bay Rd, Unit 21, Victoria, British Columbia, V8Y 2K7",,,20.000000000000000,,5187,,,,,,,Cordova Bay,Rd,,,,,,Unit,21,Unit 21,5187 Cordova Bay Rd,,,Cordova Bay,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V8Y,2K7,CAN,Canada,ENG,0.000000000000000,-123.368322468999708,48.525284453539832,-123.367368608418559,48.525498192070756,-123.368368608418564,-123.366368608418554,48.524498192070759,48.526498192070754,BC,21-5187 Cordova Bay Rd ,,,,Saanich BC,,,,,,"$1,499,000",3,3,21-5187 Cordova Bay Rd ,Saanich BC,
