X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
8.6744,-16.9118,-18.0226,-18.2436,-18.22,-18.1338,0.2676,7.2104,-1.1417,12.5286,0.2638,2.153,0.0,1.282,-9.8161
9.6099,-17.8492,-18.3277,-18.7489,-18.9166,-19.03,0.3535,7.4104,-0.6952,11.5755,0.1502,5.122,0.194,3.469,-10.3051
8.0287,-15.8953,-16.7127,-16.8721,-16.9318,-17.0034,0.1882,7.2919,-0.911,12.208,-0.4624,0.932,0.0,0.555,-8.9397
10.5858,-20.1907,-21.2287,-21.6918,-21.8895,-22.0871,0.4555,8.0772,0.6128,12.4644,-0.0082,7.28,0.139,4.536,-9.973
10.3741,-19.8648,-20.9188,-21.359,-21.546,-21.7257,0.4138,7.9308,0.6192,14.1666,0.7387,6.72,0.278,4.332,-9.7549
9.7217,-19.3357,-20.4522,-21.0169,-21.2874,-21.4831,0.4964,6.9232,0.3831,12.5097,0.267,10.007,0.0,5.962,-9.3386
9.4015,-18.2753,-19.1884,-19.5748,-19.7149,-19.8151,0.4071,8.0739,-0.1614,11.727,-0.5302,1.847,0.037,1.128,-9.5629
10.498,-19.1281,-20.3912,-20.864,-20.9836,-20.8542,0.4085,7.9591,0.32,12.1807,-0.5784,7.356,0.203,5.655,-10.178
9.3303,-17.7372,-18.7341,-19.1552,-19.2811,-19.4604,0.4056,6.9741,-0.4199,11.6615,-1.3176,6.099,0.078,3.774,-9.7502
9.9785,-19.2073,-19.9455,-20.3886,-20.5889,-20.6923,0.396,7.9756,0.1137,12.6953,-0.3022,3.945,0.432,2.091,-9.8648
9.6427,-17.9336,-19.0967,-19.4622,-19.6448,-19.6077,0.3685,7.781,-0.4679,11.721,-0.6115,3.409,0.069,2.083,-10.1106
8.996,-16.9106,-17.9791,-18.2163,-18.3449,-17.8763,0.2823,7.1484,-0.6838,11.4946,-0.1827,3.338,0.075,2.02,-9.6798
9.9814,-17.484,-19.0939,-19.6135,-19.8528,-19.9903,0.5069,7.5773,-0.4712,11.8267,0.1113,6.484,0.058,4.037,-10.4526
9.9226,-18.6529,-20.0804,-20.486,-20.6885,-20.7693,0.442,7.5154,0.1974,11.9284,-0.9412,6.373,0.026,3.892,-9.7252
10.2767,-18.0634,-19.5158,-20.1262,-20.3826,-20.5001,0.5438,7.7805,-0.4645,11.9585,-0.6247,7.231,0.089,4.616,-10.7412
8.3622,-16.2521,-17.2666,-17.5191,-17.6538,-17.7541,0.2731,7.7313,-0.7427,11.3373,-0.983,0.81,0.456,0.51,-9.1049
9.246,-15.8553,-17.0969,-17.7337,-17.9826,-18.1729,0.5878,8.3543,-1.3239,11.5029,-0.2341,1.136,0.712,1.067,-10.5699
9.613,-19.2154,-20.0081,-20.3454,-20.446,-20.4643,0.3326,7.7415,0.0988,12.2256,0.0069,3.446,0.244,2.16,-9.5143
9.0692,-17.9425,-18.7189,-18.9376,-19.0422,-19.0104,0.2345,7.3806,-0.2808,12.7538,0.2823,2.78,0.155,1.832,-9.35
9.4501,-18.7297,-19.5989,-20.0471,-20.2069,-20.4001,0.4309,8.4156,0.0548,11.8565,-0.1628,1.313,0.0,0.782,-9.3953
